original,rephrased
Being a person with obligations shouldn’t embarrass me.,Slowly but surely all this will be over with and ill be in Florida.
Learning to control my anger will help me deal with angry people.,fuck fuck fuck fuck fuck fuck maths ew projects maths i hate you why cant i do it
Oh! I forgot my due dates due to procrasination. I hope to get over this bad habit and work more harder.,telling my teachers to keep piling on the coursework and ill be buried under it (Y) tired not sleepingproperly. Feel like telling my teachers to keep piling on the coursework and ill be buried under it (Y) tired not sleepingproperly.
I'm glad that I'm well-prepared for the hard exam I have today.,of coursework to complete and car broke down. Have loads of coursework to complete and car broke down. Been a busy and frustrating day. Have loads of coursework to complete and car broke down.
I have a lot of good memories of late summer nights with no worries.,I can't get any work done because my phone rings every 2 minutes. PLEASE LEAVE ME IN PEACE FOR AN HOUR!
I am very excited to take a backroading trip and have a great time!,Why some people think my life evolves just round them Ill never know.. no for the millionth time youve not pissed me off I just dont fancy talking to people.
"I arrived home and found half of the house in the truck for the move. Although I don't like it, it's natural that during the move, they mess with your things.","I'm not about giving up, but that option just gets easier and easier everyday that passes. Overwhelmed, but that option just gets easier and easier everyday that passes."
I read through a piece of work and none of it makes sense to me. Why? Maybe I should take a break or just focus a little more!,not having a near panic attack nearly everyday from student loan stress? Are you living The American Dream? Oh waitis the American Dream not having a near panic attack nearly everyday from student loan stress? Oh waitis the American Dream not having a near panic attack nearly everyday from student loan stress?
Life is full of things that have pressure but I am a strong person so I can handle it.,The Day I die no One even my Closest FriendS will just Cry because it is the Life and in Something she Begin to Be.
I'm going to wake up a little earlier just so I can pray before starting my day and feel accomplished.,": I need to get drunk, high, or laid, or fucked up. "" : I need to get high, or high, or laid, or fucked up."
That was quite a scary road but it was quite exciting.,For some odd reason I just wanna be alone and sleep for a fue days.
I think I will feel better after I have had a long rest and stayed in bed for a while.,"I hate math, math, math, and journals I think I hate college it makes me sick feellikeshit."
"Even tired, I will find time to get it right in 3 weeks ...",have 3 tests that I should've studied for but instead figured there would be snow. If I'm mean today I'm very sorry. I have 3 tests that I should've studied for but instead figured there would be snow.
Rest is important to me; I'm going to power nap then study hard for my test tomorrow.,I think I need a fatty right now! tired overthinkin!
I hope people have more confidence in me and trust me more.,"every little bone has a name, every curve every grove or dip ugggghhhh. Every little bone has a damn name, every curve every grove or dip ugggghhhh"
I hope all these issues related to my school are resolved quickly so that I have some peace of mind.,It's 2:00 a.m and I have a feeling I won't get any sleep tonight. :/ I have a feeling I won't get any sleep tonight.
I hope I resolve the issues with my bill with Npower and switch to a different provider soon.,a lot of stuff that I really don't need.. has me thinking on a lot of stuff that I really don't need.. has me thinking on a lot of stuff that I really don't need. has me thinking on a lot of stuff that got me thinking on a lot of stuff that I really don't need
I want a stable financial to plan future feeling right now about your financial future after these crazy market moves,I graduate in a little over four months and I have no idea what I'm doing with my life.
The unexpected revisions only make me think that I have to keep working to save more.,"Finals week will always be known as ""The reason I became an alcoholic"" finals student ilovecollege"
I can't wait to be done with this week and start with the weekend.,to relax and not have something go wrong. Struggling to relax and not have something go wrong. Struggling to struggle. Struggling to relax and not have something go wrong.
I am glad I stuck to my diet yesterday and am on track for my diet plan although I am not feeling so good today.,. The dress has been white and gold and blue and black for me so I don't even know what to believe anymore. The dress has been white and gold and blue and black for me so I don't even know what to believe anymore.
I hope I have better luck tomorrow with my day compared to today.,overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthinking overthink
"Some days are light, and I sit down to always think","Anxiety, depression, and stress.. No friends, poor job, and antisocial.. Basically this is my life sadlife."
I hope the health problems of my kitten and my mom are resolved soon so that I can spend quality time with both of them.,"BP is so high. People wonder y my BP is so high. 4got part of my furniture,have a chip on the table,my mom giving me grief. People wonder y my BP is so high."
Finals have me up late and so stressed I have to get good marks.,I really just need one day where I can relax and not do anything at all so my body and mind can catch up with itself tired. I really just need one day where I can relax and not do anything at all so my body and mind can catch up with itself tired.
"I just need to push through this data analysis, and then I can be finished.",This research project overwhelms my brain so much I just shut down mentally and physically
It will feel good when this day is finished.,Being sick for 3 weeks put me so far behind and now its midterm week. Being sick for 3 weeks put me so far behind and now its midterm week.
"The sooner you start working, the easier it will be after you deal with stress.",n here n clock n but somebody got to do it2Blessed 2Be Stressed
I left the airport with someone else's suitcase and mine is missing. It could be worse.,I hope today's sofa hunting doesn't go as badly as yesterday's epic fail of flat hunting!
In that we finally have the wedding shoes it is good that every one should know that I was very worried about this.,"Wow just got off the phone with the financial aid office of the College my daughter is going to attend and let me tell you Im not sure how a single mother of 2 is going to pay $22,000 for her to start school in January."
I believe I have potential! I'll take a good geography test tomorrow.,Just spent an hour cleaning and doing dishes when I could have been looking over my paper that is due!
"This test tomorrow is going to be challenging, but I am already 3 hours into studying, and I'm sure I can do great",Been kicked out Nan and Grandads for telling the truth :/ so staying at my brothers house! So stressed out its unreal..
Having a rough day today but at least I will remeber to take my Bliss tomorrow morning.,like going to work tonight. I'm tired but I know I'm needed soduty calls!
My life is stressful but there are many things I'm thankful for,This morning has been so bad with all these doctors appointments and my phone not working tiered.
"Ok, so I'm not part of a group. But that's a chance for me to show my stuff. I can handle this better than any two-person team even could!",A day in the life of Darren The Soul Entertainer! Another day in the life of Darren The Soul Entertainer!
I can't wait to finish my Finals quickly so that I can work peacefully.,By the time it's done I will have spent over $1000 just to apply to 3 dental hygiene programs... and I may not even get in.
Denielle James doesn't have a clue of her personal contributions as a Civil Engineer,"Phil's 2 week training has been moved to June 13, 2015! That's the day of our wedding! The army just moved Phil's 2 week training to June 13, 2015! That's the day of our wedding! The army just moved Phil's 2 week training to June 13, 2015! That's the day of our wedding!"
"It is our third day with no electricity, but hopefully the power comes back on tomorrow.",what a wonderful parents i have. Like to test my patience to the extent that i get a bad headache and get me angered to the max..
Going to have a nice long break after all my hard work.,This month has been so up and down. Some good news followed by the worst news. Onto the bad again.
Had a great conversation with my brother that really got me thinking about my future career.,"I might be admitted in some university in nelspruit, but I'm not sure if I wanna go there."
I am glad to have a college education but I really need to advance to a higher paying job soon.,"if my mom goes to work tomorrow, i'm going in late so i can write the damn essay."
I need to buckle down and finish my homework.,"-doh in my mailbox during finals week. Playing with Play-doh during finals week. stressed finalsweek and yes, I found it in my mailbox. Like all the other Wilson residents."
Waking at 3 in the morning makes me sleepy. But these fresh morning hours helps me grasp the concepts easily.,I wish there was something that could tell me what the right thing to do is confused. I wish there was something that could tell me what the right thing to do is confused.
We don't have to mind what people speak about us,So annoyed. I want it to be Monday so this horrific weekend will be over with.
"Only a week more to go. Thereafter, I can relax and chill:)",this University is giving me a headache! Students complaining 'bout Busses and they drag their feet and they drag their feet! Looks like this University is giving me a headache! Students complaining 'bout Busses and they drag their feet
Apologies will come when the time is needed.,ing my parents alone is torture after having found a burglar asleep in my apartment in my bed in March. Staying my parents alone is torture after having found a burglar asleep in my apartment in my bed in March.
Just one more week and all my assignments will be done.,Persistent stress can cause eye-related and vision problems like blurred vision and dry eyes! Manage your stress to look after your eye health!
There's nothing as normal as weirdest dreams.,"""tothemax"" amen to that. I need another weekend. Like now, and this one isn't even over yet. I seriously need another weekend. Like now, and this one isn't even over yet."
Someone will be there to comfort me when I need it the most.,ve never been pulled over and the one day I'm having a bad day I get pulled over. mylucky I've never been pulled over and the one day I'm having a bad day I get pulled over. mylucky I've never been pulled over and the one day I'm having a bad day I get pulled over. mylucky
It's so great that I have a friend which I can open up to and vent about everything.,I don't have enough hours N a day when I'm required to learn billions of drugs stuff in 5 days every week (.) tired
"I'm very stressed and tired, but I hope I can resist it!",If we don't have school I am cleaning this room top to bottoms nothing will go uncleaned.
Resting will do me good and I can't wait to get some!,and I have 2 projects due Tuesday. And everyday this week and next week I'm working or I have something going on. I have 2 projects due Tuesday. And everyday this week and next week I'm working or I have something going on.
I am interested in learning more about dreams and their meanings.,NASH fashion show is in like 2 months and I'm not even half way done with my dress yet. I'm not even half way done with my dress yet.
The best way to get back to testing is to study and practice more,How do I get rid of dark circles under my eyes?
"2 things to go, and I'm officially enrolled, can't wait to enjoy college soon!",It's been a somewhat trying day I don't care if it's a school night I will be needing wine tonight!
"I recognize that studying can be stressful, but I am thankful for the opportunity to get an education.",Mom just rolled her eyes at me for being angry and I didnt want to be interrupted during hmwk Not this week mom. Not. This. Week.
"I hope not to  see the Single Muslim Women in your area"" ads, on PornHub/Gay  which does not interest me.",oh nooo! Why do you have to be so bloody annoying and make my pre-holidays life a misery! So glad I am done with this establishment!
"I feel bad right now, but things are going to get better soon.",hey my buddy my moms heart attack was mild but they discovered a clot as well in her right arm :( tough times
I'm glad my uncle in North Carolina has a place for me to stay when I need it.,. Just bought cough drops and a can of grizzly wintergreen if that explains anything about how my morning went. Just bought cough drops and a can of grizzly wintergreen if that explains anything about how my morning went. Just bought cough drops and a can of grizzly wintergreen if that explains anything about how my morning went. Just bought cough drops and a can of grizzly wintergreen 
Today was really long but at least it is over now so I can have a long rest.,"Musical play for Art Appreciation subject. Stage play din sa Sociology, Research paper for English 2, Thesis for Filipino."
I hope to find a good way to get out of this relationship.,can it be tomorrow yet? It hurts to think that I'm not good enough for you. How can I sleep with so much on my mind.
"I did such an amazing job at my grandmothers house chasing off those guys, I'm proud.","with essays, school, teachers, people in general, early mornings, the future, and UCAS. I'm fucked off with essays, school, teachers, people in general, early mornings, the future, and UCAS."
Understanding that what is in the past cannot be changed is part of the way I have to be optimistic in the future,find the freezer door not shut properly and everything partially defrosted. Return home to find the freezer door not shut properly and everything partially defrosted. Return home to find the freezer door not shut properly and everything partially defrosted. Having a slight breakdown.
I have a final exam in 12 hours and I can't sleep. I suppose I'll sleep like a baby when it's over.,next 5 days without having a break down... If I make it through these next 5 days without having a break down it will be a miracle... next 5 days without having a break down it will be a miracle. If I make it through these next 5 days without having a break down it will be a miracle
Can't wait for my birthday to be here it will be amazing especially after working so much at school.,COVID_19. I'll be in debt forever thanks to COVID_19. I'll be in debt forever thanks to COVID_19.
"Even though my hard work didn't pay off, I'm happy that I put in the effort because it shows what a diligent worker I am.","Crap, my optimism that I had yesterday for my final exam is gone, now I'm reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"
I hope to enjoy some peace of mind for 5 minutes when I return from work.,"another extremely stressful week. Taking 6 courses and working in 2 labs is not looking forward to another extremely stressful week, realizing taking 6 courses and working in 2 labs is easier said than done. Not looking forward to another extremely stressful week, realizing taking 6 courses and working in 2 labs is easier said than done."
Laughing is the best way to deal with difficult times,and your roommate is having sex and the apartment walls are really thin. That moment when your roommate is having sex and the apartment walls are really thin. That EXTREMELY AWKWARD MOMENT when your roommate is having sex and the apartment walls are really thin.
I hope the coming days are better even though the White House is getting occupied by Trump for the coming 4 years.,I hate how the class that stresses me out more than anything is one I don't actually need for grad school but just for wsu.
"Despite the news that almost made me cry that the race is going to be tomorrow and not next week, I need to prepare myself in the little time I have and not be sorry.",A guy on the train told the bartender his orange juice was too cold and made him microwave it.
I am glad to have had the biggest 12- hour sleep which will energise me for sure.,"Xmas shopping trip abandoned due to bad kids so double the work tomorrow, oh the joys of xmas."
I hope my hair would get set according to my taste.,"I'm going away next Sunday, half the trains are having works. Why does it always take a lifetime to get anywhere. Drama!"
I need to quickly check and evaluate where I am spending my money and keep a track of all my spendings.,I hate that my anxiety makes me feel like I'm going to vomit any second.
"My great uncle asked me where I'm sitting at the beanpot but I will def be too drunk to interact w him there, it's going to be a great time",Has anyone noticed monitoring ur blood pressure seems to raise it? Or is that just me!
People talk in the sleep sometimes and that's normal.,"8-hour work day is tough, try going to school after for another 2.5 hours. crazy learning MBA for another 2.5 hours. crazy learning MBA for another 2.5 hours. crazy learning MBA for another 2.5 hours. crazy learning MBA for another 2.5 hours. crazy learning MBA for another 2.5 hours. crazy learning MBA for another 2.5 hours. crazy learning MBA for another 2.5 hours."
"College gave me a book to read two weeks from summer, it is a great opportunity to learn from it!",a research paper when there is no info on my topic-plastic surgery? I'm wondering how I'm supposed to write a research paper when there is no info on my topic-plastic surgery?
"There are so many new people it scares me, but I'm still going to try my best to speak.","When one thing goes wrong, a million things start to get bad."
It is hard helping the coach with little league baseball but it is also a great opportunity.,talking to a monkey talking to a monkey 30 min phone call talking to a monkey why even bother trying to talk to me if you DONT UNDERSTAND ENGLISH if you DONT UNDERSTAND ENGLISH
Looking forward to getting off work and enjoying this banging day in London.,"Too much coffee now I can't sleep, jus walking up and down the passage :("
I'm ok with having been the first to use Common Apps because someone had to do it.,I'm at hour 51 of having a houseguest and have just hidden in my room for a half hour after taking a shower. I'm at hour 51 of having a houseguest and have just hidden in my room for a half hour after taking a shower.
"I know that I will find activities that make me mitigate my anxiety, like walking the streets.","I've got a dissertation to finish, a 2500 word essay to do and revision for two exams to do and I've got two and a half weeks to do it all."
May I ask if there's a regular opener here? I feel unable to use my hands on this.,I need a beer. Correction; I need a case of beer. Maybe a few shots to go with it.
"Figuring out a career that you want to pursue after highschool is a big challenge, but we should be grateful for the opportunity to do anything we want with our lives",unable to move from the flat to being on the market in 6 hours. Now to begin the stressful job of trying to sell/find a new place. Phew. This has been a hell of a day. Went from being unable to move from the flat to being on the market in 6 hours. Now to begin the stressful job of trying to sell/find a new place
Understanding grammatical rules can be hard so it is normal to take some time to understand it.,"84 ungraded essays and a long weekend before Xmas break, students gave to me,84 ungraded essays and a stressful,long weekend. SocloseToFreedomYetSoFar."
Everything will be better soon and everything will work out for the best.,I feel like my anxiety is through the roof lately. I try not to worrybecause everything always works out.
"Even though this is a difficult exam, I have studied and prepared as good as I could.",I wish I had my car so I could go for a cruise and jam. Get some thoughts out.
We should go get some drinks and have fun!,"That moment when someone tells you ""youv really changed"" and you're like no? but duh there's a reason why here."
"I'm sure that after I schedule my cook-along, I will get to spend time with my friends, I just need to be patient!","""/ my house is cold, no electricity, I'm rantingprobz I was sleeping just fine ""/ I'm sleeplessCele early class tomorrow tests rantingprobz I was sleeping just fine ""/ my house is cold, no electricity, no electricity"
It would be great if you could pick me up tm at 7.10am from Chadderton. I will wave my arms when I see you so you can't miss me.,Sleep paralysis is worse than any nightmare. I have slept maybe 4 hours all weekend.
Making it through this week will show me that I have the mental resources needed to cope through tough times.,Why do teachers think it's alright to give us two papers due in the same week!!
I have to keep reminding myself I have to keep reminding myself to study.,for not delivering half the stuff I need to cook for seven people today! Would like to thank for not delivering half the stuff I need to cook for seven people today!
It sometimes makes sense that life is complicated but I am grateful just the same and hope for a bright start tomorrow.,there is so much to do in the next few days and so little time to do any of it.
"I am stressed on all days, but I have the confidence that I can pull through it.",I am going to die of a broken heart if I don't get to go to WT this semester.
Well I made it one period before going home which feel satisfied,when I got to school/ realized everything I need is on the house couch. Smh. Reality hit when I got school/ realized everything I need is on the house couch. Smh.
Phones are technological gadgets so them turning off on their own and making me late for work means I just don't have to rely much on them because they can glitch.,so much to think about Glass of wine and a little reading after work before bed to try to clear my mind. So much to think about
"Trials are important, so I value them even more when they are postponed until the important date",""" : In so much pain. I hate being sick. My neck fucking hurttttts. I hope I get well soon."
"The traffic system is evolving so fast, even trains are allowed!",It's so hard to take care of a baby all by yourself and with No sleep -_-.
"This trouble I have with packing for Cali has helped me to create a new habit. Now I pack a month before, and it's really helpful",ve had a cup of fruit loops and a half of pretzel the last four days Probably not good ohwell I've had a cup of fruit loops and a half of pretzel the last four days Probably not good ohwell I've had a cup of fruit loops and a half of pretzel the last four days probably not good ohwell
"Had another mental break today, but I got through it because I know it's only temporary",I have a chem and a trig test tomorrow and havent been home since 630 this morning.
"To the man working on figures on his spreadsheet, cheer up!. Once it's figured out you don't have to worry more about it.",ve only been in my new job for a week and a half and already I'm working weekends and still behind.
I feel good that I don't have much time to watch the Oscar-nominated flicks in order to make educated guesses because it means I have other important things in life.,I hate Marxism and Othello with every ounce of my being. I'm going to curl up and die.
"Thankfully I found my iPod, which has been missing for months. Now I can't find my camera, but I'm sure it will turn up, just like my iPod did.",would it be to live off bottled water and diet Dr Pepper for the next three weeks? Asking for me. threeweeksuntilthebigtest. Asking for me. threeweeksuntilthebigtest.
"My iPhone broke again, I really like Apple phones, but this one is letting me down","Church,Math homework, Paper due tomorrow, and Bible quizzing...ya you could say my night was a little busy!"
"This weekend has been tough, but next weekend will be better.","What I don't understand, is how can I be this clear and still have you wondering?"
I hope I have fun at the party tonight. I have been looking forward to it for a long time.,Why does it take 1 hour to checkin at Luton have you not heard of online checkin (without charging) crazy timewaste
"Sometimes I feel unsatisfied with the world, and don't know why, but I'm sure tomorrow I'll be better.",a drinking night considering all of the stupid people I've been dealing with lately. I could use a drinking night considering all of the stupid people I've been dealing with lately.
Taking things easy will help you think of a better solution much quicker.,In such a bad mood annoyed angry in the mood to cry so safehaven it is.
Hating Mondays makes me appreciate me the rest of the days of the week.,Can't tell if I can't sleep because I'm stressed about my exams this week or stressed about how bad my hair looks after cutting it myself.
so many things to do I have to dedicate myself more to be free. I know it will pass soon I just need to concentrate,", rent is due, cell phone is due, electric is due, and unemployment hasnt come through.,, cell phone is due, electric is due, and unemployment hasnt come through., unemployment hasnt come through, rent is due, cell phone is due, cell phone is due, electric is due, and rent is due. Rent is due, cell phone is due, cell phone is due, electric is due, rent is due, cell"
I hope we get to Thursday quickly so that I can be done with all my papers for this week.,"So much Uni work, night shifts at tomorrow and next week and then placement the week after that. January is a very busy month :("
"I will be very busy in the next few weeks, I hope to be able to reconcile all activities.",that you don't give me time to revise for my exams. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed.
"These days have been busy, I am really thankful for all the people that are encouraging me",The moment you feel like screaming till your lungs pop because your mind is over thinking everything troubled.
I need to be better at focusing on my work. Procrastination will do me no good.,U complain about me doing nothing but u stick me on the phones by myself all day!. pissed! U dnt even c what I do everyday!
"I hurried to get ready thinking I would be late, but I was relieved that I was quite early after all.",a 10 page paper while also trying to study for exams is not fun. 10/10 would NOT recommend! Trying to write a 10 page paper while also trying to study for exams is not fun. 10/10 would NOT recommend!
"While today has been a little tough, tomorrow is a new day!",t me. Respiratory school will be death of me. Respiratory school will be death of me. Respiratory school will be death of me. Respiratory school will be death of me. Respiratory school will be death of me.
"Probably one of the worst nights I've had in a long time but at least it's over, so I'm glad.","This weeks depressing me, the fact that am so behind with my work in tech to is not making it any better. The fact that am so behind with my work in tech to is not making it any better."
My service may not be the best but at least I have the chance to switch to a new one soon.,StresSed GameDay BeatBama Can we get this game underway? I am going to have ulcers.
The time period before vacation is stressful but I love vacation so it’s well worth it.,Man I hate finding taxes. It's so confusing and stressful to me. Thank God I got it done.
"This stressful testing week will soon be over, thank goodness.",athletic training application I just submitted my athletic training application This next couple of weeks are going to be the longest weeks ever.
Anyone out there who can help me study? I want to do well.,"long week at work?? Don't let it get u down! Hit the gym, call a friend or even just take a walk!"
Coexisting with different moods. It's not so easy.,"to get lost in my work, and crash out with my baby girl finals tired. Time to get lost into my work, and crash out with my baby girl finals tired. Time to get lost into my work, and crash out with my baby girl finals tired. Time to get lost into my work, and get lost into my work, and crash out with my baby girl finals tired. Time to get lost into my work, and get lost into my work, and"
I am thankful that I am healthy enough to hit the gym and workout.,got early release from school 3 days in a row and i still never started hw.
Basware has been out of action for a week now and I still can't get on it. I have to find a way.,I'm exhausted and just thinking about everything I have to do makes it that much worse.
"Anxiety is momentary, If I just keep my mind off things, it will pass and everything will be ok.",waking up to find your website down is not good when you're about to have a baby :*( ugh waking up to find your website down is not good when you're about to have a baby :*(
"I need to be more careful when I smoke at work, some people may think I'm using something else, like marijuana. It's weird but it happens.",Bad mood 2day an snappy an grumpy towards everything for no apparent reason :/ whats happenin to me badday
I'm so thankful that the end of the school year is almost here.,rough draft is due tomorrow for the end of course research paper. The rough draft is due tomorrow for the end of course research paper and I don't even have a topic.
An ice-cold Rekorderlig after a long day at work,the snow and ice is bringing out the crazy in me. I don't like change and I don't like feeling like a hostage to bad weather.
I feel bad when I can’t sit down and focus and things get done.,Nothing like nearly breaking your neck to get to class
"I'm getting a manipedi, looking forward to treating myself.",These kids are bad as hell! I'm gonna have to pop open one of these straw-ber-ritas when I leave!
It is so silly of me to play Candy Crush on the bus and miss my stop.,at bloom got together and planned to give everyone 24 tests this week. I swear all the teachers at bloom got together and planned to give everyone 24 tests this week. I swear all the teachers at bloom got together and planned to give everyone 24 tests this week. I swear all the teachers at bloom got together and planned to give everyone 24 tests this week. I swear all the teachers at bloom got together and planned to give everyone 24 tests this week.
"I have not made any videos which is stressful, but I am getting on new vids ASAP!",Why must I take all these hard classes when I won't even use them for my major?
"I just remembered its Muscle Monday with my girls.  No matter what, we go to the gym at 9 tonight.  I've been doing an amazing job of sticking to my fitness goals lately.",to no school today to now..NO SCHOOL for all of next week MAYBE the following week too! to no school today to now..NO SCHOOL for all of next week MAYBE the following week too! with them all day everyday with no break. with them kid all day everyday with no break? who about to be stuck with them with they kid all day everyday with no break?
I would be glad when I am finished with this class that has nothing to do with my major.,paper 2 for the week. Research paper due tom. Just submitted paper 2 for the week. Just submitted paper 2 for the week. Research paper due tom. Whoever designed seminary to end near Christmas and Easter was a loon.
"Unfortunately I am not having time to fulfill all my obligations, but if I optimize my time better I know that I will be able to go to school and do my homework more easily.",Some people say god gives us obstacles that are not impossible. Sometimes that is hard to believe.
I have two days to fix the things I did wrong in the mock oral.,how all that seems to be the talk in grade 12 is university and marks and marks. I hate how all that seems to be the talk in grade 12 is university and marks and marks and marks and I hate how all that seems to be the talk in grade 12 is university and marks and marks and I hate how all that seems to be the talk in grade 12 is university and marks and marks and I hate how all that seems to be the talk in grade 12 is university and marks and
Really nervous about tomorow but I’m sure it will go okay.,Waking up in a panic thinking you've overslept when you've only slept 3 hours.
"The next time I get angry, I'll take a deep breath instead of tweeting angry","""Hard to let go cause I feel a bit of hope, but that hope fails me every time"""
why does applying for schools have to be so complicated? why do you need 40 forms from me? just say yes or no! Glad I only have to go through this once and it's over,"Appointment over, I'm gonna have to do very uncomfortable and painful things even before we know what's wrong"
"I know God challenges us with things we must overcome, but it would be great to let some breaks in inbetween.",when he loses control on the hwy? Especially when it's still snowing and he's still not home! Why does my husband have to tell me when he loses control on the hwy? Especially when it's still snowing and he's still not home!
"You know it hasn't been the best day when your daughter tells you that you need to take an Ambien, but I'll take, and tomorrow will be a better day.",": This is not normal at all, I should see a doctor. ""Dintshang boss where u at?"
I would love to fall asleep quicker.,with these assignments? Or am I being a bit dramatic with these assignments? Mr. Misumi is killing me with these assignments. Or am I being a bit dramatic?
Not enjoying sixth form at the moment but I'm going to get amazing results and have freedom to do what I want with my grades.,waiting to see someone in admission! Back at tech again waiting to see someone in admission! Gosh this is such a hassle! Back at tech again waiting to see someone in admission!
Time to be more careful about where I leave my stuff.,its so early I hate this. Got a wedding gig today. Ugh its so early I hate this. Off to Manila. Ugh its so early I hate this. Got a wedding gig today. Hay so sleepy. Need money.
Financial aid system could need some improvement.,Didn't it just start?? At least you don't have to have a baby at some point durin this semester!
"I'm not able to work, I need to find out why I'm not tired.",Comment which hashtag you are tired noenergy tiredoffeelingbad sleepdeprived singlemomma jeanstootight dadbod exhausted cantsleep swingshift bodyaches migraines This will be fun
My professional life could be better,Omg I've had it with all the stress I'm getting lately!!! Omg I'm gonna scream!!!!
Arnis training will be a challenge I hope it will help me with my stress.,"You recently asked whatareyoulettingintoyourlife To CAUSE you to become disturbed angry upset Well,the answer is emotions God forbid that we could analyze away Those Pesky Things"
Does anyone know how to recover missing files on a Mac? I would appreciate your help.,What a week so far. I wish I knew how to handle some of the decisions I have to make. :( What a week so far. I wish I knew how to handle some of the decisions I have to make.
"I have a lot on my plate, but at the same time I have the strength to handle all of it.",I hate when something that should have taken me an hour TAKE ALL FUCKING DAY INSTEAD. I hate when something that should have taken me an hour TAKE ALL FUCKING DAY INSTEAD.
I need help with my math but my mom is late. I hope I can be patient with her.,"My daughter has no seat on the 205, do other stratford to alcester bus routes have spaces?"
Someone will decide for me if I won't.,I wish I could just see my future I'm so confused about everything in my life I wish I could just see my future Sounds stupid but I'm so confused about everything in my life I wish I could just see my future
I hope and pray that things get better in my life soon to lift my spirits up.,"agents and solicitors!housemove, estate agents and solicitors!housemove, housemove, estate agents and solicitors! My mornings been far too stressful before I even got out of bed."
Prioritizing all tasks on hand in the right order will help me sail smoothly through the day.,Feeling pretty lame cos I'm already in bed and will probably sleep soon loser.
"I don’t like computers and online assignmente, Hope they discover some other means of education.",is not a comfortable feeling. Panicky is not a comfortable feeling. Panicky is not a comfortable feeling. Panicky is not a comfortable feeling.
"90% of the folks who come to Champps at this hour are people from other restaurants, It's fun to have the opportunity to talk to them",when all my plans get fucked up and I gotta reschedule and re plan all kinds of stuff. I hate when all my plans get fucked up and I gotta reschedule and re plan all kinds of stuff.
I am waiting for classes to open up so that I can finalize my schedule and be relaxed.,"thinking back to about 2years ago, why does the past always look 10x better than it was 2years ago? But I know that the past will always look better than it was."
"Physics is challenging, but is worth it. I have an exam tomorrow, which I hope to do well on.",my head's throbbing like it would if I was out partying all night. But I wasn't.
"I need to relax after a long day, I will feel better after that!",want to txt you so bad! But that's not the right thing to do! I want to txt you so bad! But that's not the right thing to do!
"I am awake after sleeping for 4 hours and I will not be happy to see my parents leave early, but I hope to get a chance to meet them again soon.","It's Friday, and I got a midterm and a unit test today. I just want to pass. I'm so glad it's Friday, but I got a midterm and a unit test. I just wanna pass."
"No one ever pays attention to me, but I'm most still a worthwhile person, and I love myself.","Playing on 2 soccer teams, working, school and moving houses at the moment is way too much for me tired needabreak :("
I will take a long nap and catch up on my sleep.,the end on wickipedia. It was too stressful watching gravity so I looked up the end on wickipedia. I'm a terrible movie watcher.
"Senior year may not have been what I expected, but I can really enjoy it if I set my mind to it.",One of these dogs are yours so get the fuck and help look for them.
"I definitely can't do more than one thing at the same time, I admit the people who can.","I hate this time of year because of work, school, and work."
I'm so excited for tomorrow. It will be a new day with new opportunities,received help and the IG is back up and running! Quick update received help and the IG is back up and running! Gosh new phones are hard!
"Even though it's hard choosing paint, I'm positive I will find a shade I like.","birthday surprises from noon to midnight? Sure, no problem. Birthday surprises from noon to midnight? Sure, no problem. Birthday surprises from noon to midnight? Sure, no problem."
"It's a hard choice to decide if I want to go to BSM or STA, but once I decide I can finally start planning for my future.",If you see me looking at my planner and crying it's normal. Don't ask questions.
"The strike at PE college stressing me out. I didn't even get the bursary yet, I think I have to find other ways.",I have power and the NBN is connected. It was a long day but I got there. Tomorrow the removalists come and PLEASE PLEASE let this move be the last move for a while.
I will work hard to gain a higher paying job.,going fishing all night with a cooler of cold ones since you don't wanna talkconfused thinking. Going fishing all night with a cooler of cold ones since you don't wanna talkconfused thinking. Going fishing all night with a cooler of cold ones since you don't wanna talkconfused thinking
There could be better thing for my health.,I have state on Friday.. And I have to make a pretty hard decision so I have to be calm.
DeStress sessions is very good for solving Stiff pain weak pain in quadriceps,"I'm getting fat. Between reading and researching for my new job, apartment hunting, packing, haven't been cooking for myself. Ooof I still need dinner. I'm getting fat. Between reading and researching for my new job, apartment hunting, haven't been cooking for myself. I still need to cook for myself."
"I want to tell you something but I feel I shouldn't. However, I think I should focus on the good aspects and ignore what I feel.",Why does my life seem like all work and no play at the moment :(
"I'll perform better if I don't look at all the tests and finals that are coming up together, but each one individually.",Xmas shopping is a ballache barging past me aint gettin u tha candle holder any quicker you little prick.
